Qty,Value,Device,Package,Parts,Description
1,-,ESP_WROOM_32,ESP_WROOM_32,U1,ESP_WROOM_32 Module 09 Aug 2016
2,100nF,CAPACITOR_NPOL-0603,C603,"C3, C4",Non-Polarized capacitor in various packages
2,10K,RESISTOR-0603,R603,"R1, R2",
1,1uF,CAPACITOR_NPOL-0603,C603,C2,Non-Polarized capacitor in various packages
1,2.2uF,CAPACITOR_NPOL-0603,C603,C1,Non-Polarized capacitor in various packages
2,CON_HEADER_1X02-PTH,CON_HEADER_1X02-PTH,M1X2,"J7, VCC",
1,HYDRABUS_SHIELD_CON_HEADER_1X06,HYDRABUS_SHIELD_CON_HEADER_1X06,HYDRABUS_SHIELD_M1X6,J6,SWD Header 1x6 Pin header
1,HYDRABUS_SHIELD_CON_HEADER_1X06_BOTTOM,HYDRABUS_SHIELD_CON_HEADER_1X06_BOTTOM,HYDRABUS_SHIELD_M1X6_BOTTOM,SWD_DEBUG,SWD Header 1x6 Pin header bottom
1,HYDRABUS_SHIELD_CON_HEADER_2X07_BOTTOM,HYDRABUS_SHIELD_CON_HEADER_2X07_BOTTOM,HYDRABUS_SHIELD_M2X7_BOTTOM,J1,2x7 Pin header bottom
2,HYDRABUS_SHIELD_CON_HEADER_2X10,HYDRABUS_SHIELD_CON_HEADER_2X10,HYDRABUS_SHIELD_M2X10,"J4, J5",2x10 Pin header
2,HYDRABUS_SHIELD_CON_HEADER_2X10_BOTTOM,HYDRABUS_SHIELD_CON_HEADER_2X10_BOTTOM,HYDRABUS_SHIELD_M2X10_BOTTOM,"J2, J3",2x10 Pin header bottom
1,TPS73633,TPS73633,SOT23-5L,U2,Texas Instrument LDO
